,Genre,Gross,actors,directors,producers,rel_date,title,writers
1763,Sci-Fi Action,135500600,Noomi Rapace/Michael Fassbender/Charlize Theron/Idris Elba/Guy Pearce,Ridley Scott,Damon Lindelof/Ridley Scott/Tony Scott,2012-06-08,Prometheus,Damon Lindelof/Jon Spaihts
1764,Romantic Comedy,53714700,Diane Keaton/Mandy Moore/Piper Perabo,Michael Lehman,Paul Brooks/Scott Niemeyer,2007-02-02,Because I Said So,
1765,Romantic Comedy,43841700,Jack Black/John Cusack/Tim Robbins/Catherine Zeta-Jones,Stephen Frears,Tim Bevan/John Cusack,2000-03-31,High Fidelity,Nick Hornby/Steve Pink
1766,Family Adventure,117442500,"Sarah Michelle Gellar/Freddie Prinze, Jr./Matthew Lillard/Seth Green/Alicia Silverstone",Raja Gosnell,Charles Roven,2004-03-26,Scooby-Doo 2: Monsters Unleashed,James Gunn
1767,Drama,47400,Sophie Okonedo,Michael Winterbottom,,1998-05-01,Go Now!,
1768,Thriller,37779100,Jennifer Lopez/Ryan Guzman/John Corbett,Rob Cohen,Jason Blum/Jennifer Lopez,2015-01-23,The Boy Next Door,Barbara Curry
1769,Fantasy Comedy,51328100,Rob Schneider/Anna Faris/Rachel McAdams,Tom Brady,Jack Giarraputo/Adam Sandler,2002-12-13,The Hot Chick,Tom Brady
1770,Sci-Fi Adventure,148270900,Kurt Russell,Roland Emmerich,Dean Devlin,1994-10-28,Stargate,Dean Devlin
1771,Drama,10186500,Jake Gyllenhaal/Dustin Hoffman/Holly Hunter/Susan Sarandon,Brad Silberling,David Hoberman/Mark Johnson/Patricia Whitcher,2002-09-27,Moonlight Mile,
1772,Romantic Comedy,24200,Julie Delpy,Julie Delpy,,2016-03-11,Lolo,
1773,Crime,140855000,Tom Cruise/Jamie Foxx/Jada Pinkett-Smith/Mark Ruffalo/Peter Berg,Michael Mann,Frank Darabont/Michael Mann,2004-08-06,Collateral,Stuart Beattie
1774,Comedy,116627600,Jack Black,Richard Linklater,Scott Aversano/Scott Rudin,2003-10-03,School of Rock,Mike White
1775,Comedy,7765800,,Lawrence Kasdan,Lawrence Kasdan,1999-09-24,Mumford,Lawrence Kasdan
1776,Action / Adventure,208996600,Ioan Gruffudd/Jessica Alba/Chris Evans,Tim Story,Avi Arad/Chris Columbus/Bernd Eichinger/Kevin Feige/Stan Lee/Ralph Winter,2005-07-08,Fantastic Four,Michael France
1777,Period Drama,3073700,Sean Bean/Brendan Gleeson,Jim Sheridan,,1990-12-22,The Field,Jim Sheridan
1778,Action Drama,22645600,James Franco/Tyrese Gibson/Jordana Brewster,Justin Lin,Mark Vahradian,2006-01-27,Annapolis,
1779,Drama,921500,Clive Owen,Scott Hicks,,2009-09-25,The Boys Are Back,
1780,Crime Drama,93307700,Susan Sarandon/Brad Pitt,Ridley Scott,Ridley Scott,1991-05-24,Thelma and Louise,Callie Khouri
1781,Comedy / Drama,35237100,Ben Affleck/Liv Tyler/Jennifer Lopez,Kevin Smith,,2004-03-26,Jersey Girl,Kevin Smith
1782,Sci-Fi Adventure,156922600,Sofia Boutella/Idris Elba/Simon Pegg/Chris Pine/Zoe Saldana/Karl Urban/Anton Yelchin,Justin Lin,J.J. Abrams/Bryan Burk/David Ellison/Roberto Orci,2016-07-22,Star Trek Beyond,Simon Pegg
1783,Drama,11600300,Robert Redford/Morgan Freeman/Jennifer Lopez/Josh Lucas,Lasse Hallstrom,Graham King/Joe Roth,2005-09-09,An Unfinished Life,
1784,Family Adventure,68846800,Frankie Muniz/Hilary Duff/Martin Donovan,Harald Zwart,Dylan Sellers/Bob Yari,2003-03-14,Agent Cody Banks,Scott Alexander/Larry Karaszewski/Ashley Miller/Zack Stentz
1785,Animation,352585400,Sandra Bullock/Jon Hamm/Michael Keaton/Steve Coogan,Pierre Coffin,Janet Healy/Christopher Meledandri/Chris Renaud,2015-07-10,Minions,Brian Lynch
1786,Animation,269941300,,Andrew Stanton,John Lasseter,2008-06-27,WALL-E,Pete Docter/Andrew Stanton
1787,Western,51902000,Kevin Costner/Dennis Quaid,Lawrence Kasdan,Kevin Costner/Michael Grillo/Lawrence Kasdan/Jim Wilson,1994-06-24,Wyatt Earp,Lawrence Kasdan
1788,Comedy,14968800,Owen Wilson/Adrien Brody/Jason Schwartzman,Wes Anderson,Steven M. Rales/Scott Rudin/Wes Anderson/Roman Coppola,2007-09-29,The Darjeeling Limited,Wes Anderson/Jason Schwartzman/Roman Coppola
1789,Romantic Comedy,238100,Zoe Kazan/Josh Radnor,Josh Radnor,,2011-03-04,HappyThankYouMorePlease,Josh Radnor
1790,Comedy / Drama,17960900,Charlize Theron/Patrick Wilson,Jason Reitman,Diablo Cody/John Malkovich/Mason Novick/Steven M. Rales/Jason Reitman/Charlize Theron,2011-12-09,Young Adult,Diablo Cody
1791,Drama,1231400,Tom Hardy/Noomi Rapace/Gary Oldman,Daniel Espinosa,Ridley Scott/Greg Shapiro,2015-04-17,Child 44,Richard Price
1792,Comedy,144911500,Reese Witherspoon/Vince Vaughn/Robert Duvall/Jon Voight/Jon Favreau,Seth Gordon,Gary Barber/Roger Birnbaum/Jonathan Glickman/Vince Vaughn,2008-11-26,Four Christmases,Jon Lucas/Scott Moore
1793,Action Comedy,34339600,Michael Cera/Mary Elizabeth Winstead/Chris Evans/Jason Schwartzman/Anna Kendrick/Aubrey Plaza/Ellen Wong,Edgar Wright,J. Miles Dale/Marc Platt,2010-08-13,Scott Pilgrim vs. the World,Michael Bacall/Edgar Wright
1794,Sci-Fi Action,33535400,Dev Patel/Sharlto Copley/Sigourney Weaver/Hugh Jackman,Neill Blomkamp,,2015-03-06,Chappie,Neill Blomkamp
1795,Family Adventure,87844500,Paul Dano/James Gandolfini/Max Records/Forest Whitaker/Michelle Williams,Spike Jonze,Gary Goetzman/Tom Hanks/Jon Jashni/Scott Mednick/Thomas Tull,2009-10-16,Where the Wild Things Are,Spike Jonze
1796,Action / Adventure,423597700,Tobey Maguire/Kirsten Dunst/James Franco/Thomas Haden Church/Topher Grace/Bryce Dallas Howard,Sam Raimi,Kevin Feige/Stan Lee/Laura Ziskin/Avi Arad,2007-05-04,Spider-Man 3,Alvin Sargent
1797,Romantic Comedy,120426400,"Eddie Murphy/Thandie Newton/Cuba Gooding, Jr.",Brian Robbins,John Davis/Brian Robbins/Michael Tollin,2007-02-09,Norbit,Eddie Murphy/David Ronn/Jay Scherick
1798,Comedy,2205600,Steve Coogan,Michael Winterbottom,,2011-06-10,The Trip,
1799,Animation,186382300,Jim Carrey/Steve Carell/Seth Rogen/Dan Fogler/Isla Fisher/Jonah Hill,Jimmy Hayward,Bruce Anderson/Christopher Meledandri/Chris Wedge,2008-03-14,Dr. Seuss' Horton Hears a Who!,Ken Daurio/Cinco Paul
1800,Drama / Thriller,92918400,Nicolas Cage/Maria Bello/Maggie Gyllenhaal,Oliver Stone,Michael Shamberg/Stacey Sher,2006-08-09,World Trade Center,
1801,Drama / Thriller,41625500,Olivia Thirlby,Paul Greengrass,Tim Bevan/Eric Fellner/Lloyd Levin,2006-04-28,United 93,Paul Greengrass
1802,Comedy,188244600,Adam Sandler/Winona Ryder/Jared Harris,Steven Brill,Jack Giarraputo/Adam Sandler,2002-06-28,Mr. Deeds,Tim Herlihy
1803,Romance,709900,Renee Zellweger,Dan Ireland,,1996-12-20,The Whole Wide World,
1804,Comedy / Drama,11287800,Emma Stone/Colin Firth,Woody Allen,,2014-07-25,Magic in the Moonlight,Woody Allen
1805,Comedy,38774200,Kal Penn/Neil Patrick Harris,Todd Strauss-Schulson,Greg Shapiro,2011-11-04,A Very Harold & Kumar 3D Christmas,Jon Hurwitz/Hayden Schlossberg
1806,Drama,28200,Josh Lucas/Lukas Haas/Adam Brody,Boaz Yakin,,2009-07-17,Death in Love,Boaz Yakin
1807,Musical,5883600,Christian Bale/Robert Duvall,Kenny Ortega,,1992-04-10,Newsies,
1808,Comedy / Drama,18685600,Jude Law/Marisa Tomei/Susan Sarandon/Nia Long/Omar Epps,Charles Shyer,Charles Shyer,2004-11-05,Alfie,Charles Shyer
1809,Drama,513000,Jeffrey Wright/Anthony Mackie,"George Tillman, Jr.","George Tillman, Jr.",2013-10-11,The Inevitable Defeat of Mister and Pete,
1810,Adventure,94948600,Sean Connery,John McTiernan,,1992-02-07,Medicine Man,
1811,Action Comedy,15153900,Jesse Eisenberg/Kristen Stewart/Topher Grace/John Leguizamo,Nima Nourizadeh,,2015-08-21,American Ultra,Max Landis
1812,Thriller,34570000,Jennifer Lawrence/Max Thieriot,Mark Tonderai,Ryan Kavanaugh/Aaron Ryder/Tucker Tooley,2012-09-21,House at the End of The Street,David Loucka
1813,Romantic Comedy,15797700,Michael K. Williams/Chris Rock,Chris Rock,Lisa Stewart,2007-03-16,I Think I Love My Wife,
1814,Comedy,11000,Kyle Gallner/Olivia Thirlby/Rob Riggle,Courteney Cox,Courteney Cox,2015-04-24,Just Before I Go,
1815,Period Drama,38249000,Salma Hayek/Alfred Molina/Geoffrey Rush,Julie Taymor,Jay Polstein,2002-10-25,Frida,
1816,Action Thriller,181934000,Denzel Washington/Viggo Mortensen/James Gandolfini,Tony Scott,Jerry Bruckheimer,1995-05-12,Crimson Tide,Quentin Tarantino*
1817,Drama,309000,Sigourney Weaver/Michelle Williams,Dan Harris,,2004-12-17,Imaginary Heroes,Dan Harris
1818,Comedy,46087200,Naomi Watts/Melissa McCarthy/Bill Murray/Terrence Howard,Theodore Melfi,Don Cheadle/Peter Chernin/Theodore Melfi,2014-10-10,St. Vincent,Theodore Melfi
1819,Unknown,419900,John C. Reilly/Gwyneth Paltrow/Samuel L. Jackson,Paul Thomas Anderson,,1997-02-28,Hard Eight,Paul Thomas Anderson
1820,Comedy / Drama,411400,Joseph Gordon-Levitt/Natalie Portman,Spencer Susser,Natalie Portman/Spencer Susser,2011-05-13,Hesher,David Michod/Spencer Susser
1821,Romance,25915700,Kirsten Dunst,John Stockwell,,2001-06-29,crazy/beautiful,Phil Hay/Matt Manfredi
1822,Sci-Fi Comedy,75583500,Arnold Schwarzenegger/Danny DeVito/Emma Thompson/Frank Langella,Ivan Reitman,Joe Medjuck/Ivan Reitman,1994-11-23,Junior,
1823,Comedy / Drama,62500,Billy Crudup/Selena Gomez/Jamie Chung/Anton Yelchin/Laurence Fishburne,William H. Macy,,2014-10-17,Rudderless,William H. Macy
1824,Action Comedy,68542300,Ewen Bremner/Dwayne Johnson/Rosario Dawson/Christopher Walken,Peter Berg,Marc Abraham/Kevin Misher,2003-09-26,The Rundown,James Vanderbilt
1825,Comedy,829100,Jason Sudeikis/Adam Scott/Amanda Peet,Leslye Headland,,2015-09-11,Sleeping with Other People,Leslye Headland
1826,Thriller,61196100,George Clooney/Tom Wilkinson/Tilda Swinton/Sydney Pollack,Tony Gilroy,Jennifer Fox/Anthony Minghella/Sydney Pollack/Steven Soderbergh,2007-10-05,Michael Clayton,Tony Gilroy
1827,Comedy,53956800,Robin Williams/Billy Crystal,Ivan Reitman,Joe Medjuck/Ivan Reitman/Joel Silver,1997-05-09,Father's Day,
1828,Romantic Comedy,13300,Nia Vardalos/John Corbett/Zoe Kazan,Nia Vardalos,,2009-07-03,I Hate Valentine's Day,Nia Vardalos
1829,Thriller,56016500,Idris Elba/Taraji P. Henson,Sam Miller,Idris Elba/Rob Hardy/Taraji P. Henson/Will Packer,2014-09-12,No Good Deed,Aimee Lagos
1830,Drama,19823100,James Franco,Danny Boyle,Danny Boyle,2010-11-05,127 Hours,Simon Beaufoy/Danny Boyle
1831,Action / Adventure,134899600,Shailene Woodley/Theo James/Kate Winslet/Jai Courtney/Ray Stevenson/Miles Teller/Ansel Elgort/Naomi Watts,Robert Schwentke,Neil Burger/Lucy Fisher/David Hoberman/Douglas Wick,2015-03-20,The Divergent Series: Insurgent,Mark Bomback/Brian Duffield/Akiva Goldsman
1832,Sci-Fi Horror,11756300,Dennis Quaid/Ben Foster/Cam Gigandet,Christian Alvart,Paul W.S. Anderson/Jeremy Bolt/Robert Kulzer,2009-09-25,Pandorum,Christian Alvart
1833,Unknown,6000,Jude Law/Sean Bean/Jonathan Pryce,Paul W.S. Anderson,Jeremy Bolt,1996-02-09,Shopping,Paul W.S. Anderson
1834,Sci-Fi Horror,339763300,Mel Gibson/Joaquin Phoenix/Abigail Breslin/Rory Culkin,M. Night Shyamalan,Kathleen Kennedy/Frank Marshall/Sam Mercer/M. Night Shyamalan,2002-08-02,Signs,M. Night Shyamalan
1835,Comedy / Drama,5677200,Al Pacino/Jennifer Garner/Christopher Plummer/Annette Bening,Dan Fogelman,,2015-03-20,Danny Collins,Dan Fogelman
1836,Family Comedy,5400,Milla Jovovich,Famke Janssen,Famke Janssen,2012-09-28,Bringing Up Bobby,Famke Janssen
1837,Action,109296000,Chris O'Donnell,Martin Campbell,,2000-12-08,Vertical Limit,
1838,Romance,64487900,Zac Efron/Taylor Schilling,Scott Hicks,Denise Di Novi/Alison Greenspan/Kevin McCormick,2012-04-20,The Lucky One,Will Fetters
1839,Crime Drama,118286300,"Morris Chestnut/Laurence Fishburne/Cuba Gooding, Jr./Nia Long/Ice Cube/Angela Bassett",John Singleton,,1991-07-12,Boyz N the Hood,
1840,Period Adventure,340422100,Kevin Costner/Morgan Freeman/Alan Rickman,Kevin Reynolds,Gary Barber/James G. Robinson*,1991-06-14,Robin Hood: Prince of Thieves,
1841,Thriller,122350500,Shia LaBeouf/Michelle Monaghan/Rosario Dawson/Anthony Mackie/Billy Bob Thornton,D.J. Caruso,Patrick Crowley/Steven Spielberg,2008-09-26,Eagle Eye,
1842,Sci-Fi Comedy,472980400,Tommy Lee Jones/Will Smith,Barry Sonnenfeld,Steven Spielberg,1997-07-02,Men in Black,Ed Solomon
1843,Action / Adventure,300770200,Henry Cavill/Amy Adams/Kevin Costner/Diane Lane/Laurence Fishburne/Russell Crowe,Zack Snyder,Christopher Nolan/Charles Roven/Deborah Snyder/Emma Thomas/Thomas Tull,2013-06-14,Man of Steel,David S. Goyer/Christopher Nolan
1844,Horror Comedy,42546600,Toni Collette/Adam Scott,Michael Dougherty,Jon Jashni/Thomas Tull,2015-12-04,Krampus,Michael Dougherty
1845,Drama,1742500,Brian Cox/Paul Dano,Michael Cuesta,Michael Cuesta,2001-09-07,L.I.E.,Michael Cuesta
1846,Western Comedy,91480300,Jackie Chan/Owen Wilson/Lucy Liu,Tom Dey,Gary Barber/Roger Birnbaum/Jonathan Glickman,2000-05-26,Shanghai Noon,Alfred Gough &amp; Miles Millar
1847,Drama,17237400,Meryl Streep/Liam Neeson/Alfred Molina,Barbet Schroeder,Roger Birnbaum/Jonathan Glickman*/Joe Roth,1996-02-23,Before and After,
1848,Comedy,7490300,Topher Grace/Anna Faris/Dan Fogler/Teresa Palmer/Chris Pratt/Michelle Trachtenberg/Demetri Martin,Michael Dowse,Topher Grace,2011-03-04,Take Me Home Tonight,
1849,Comedy,352100,Ellen Page/Kevin Bacon/Liv Tyler,James Gunn,Ted Hope,2011-04-01,Super,James Gunn
1850,Drama,2409900,Miles Teller/Nicole Kidman/Aaron Eckhart,John Cameron Mitchell,Nicole Kidman/Gigi Pritzker,2010-12-17,Rabbit Hole,David Lindsay-Abaire
1851,Action Comedy,88288300,Eddie Murphy,John Landis,,1994-05-25,Beverly Hills Cop III,
1852,Action Comedy,35417700,Bruce Willis,Michael Lehman,Joel Silver,1991-05-24,Hudson Hawk,Daniel Waters
1853,Comedy,87658100,Kevin James/Rosario Dawson,Frank Coraci,Todd Garner/Jack Giarraputo,2011-07-08,Zookeeper,Nick Bakay/Kevin James/Rock Reuben/David Ronn/Jay Scherick
1854,Comedy,13919400,Ben Stiller/Drew Barrymore,Danny DeVito,Ben Stiller,2003-09-26,Duplex,
1855,Crime Drama,9405900,Benjamin Bratt,Taylor Hackford,Taylor Hackford,1993-04-30,Bound by Honor,
1856,Comedy,38240200,Matthew McConaughey/Woody Harrelson/Ellen DeGeneres,Ron Howard,Brian Grazer/Ron Howard,1999-03-26,EDtv,
1857,Western Comedy,44912000,Seth MacFarlane/Charlize Theron/Liam Neeson/Amanda Seyfried/Giovanni Ribisi/Neil Patrick Harris,Seth MacFarlane,Jason Clark/Seth MacFarlane/Scott Stuber,2014-05-30,A Million Ways to Die in the West,Seth MacFarlane/Alec Sulkin/Wellesley Wild
1858,Action / Adventure,202491500,Arnold Schwarzenegger/George Clooney/Chris O'Donnell/Uma Thurman/Alicia Silverstone,Joel Schumacher,,1997-06-20,Batman and Robin,Akiva Goldsman
1859,Drama,1436200,Colin Farrell,Michael Mayer,Hunt Lowry/John Sloss/John Wells,2004-07-23,A Home at the End of the World,
1860,Drama,84370900,Will Smith/Rosario Dawson/Woody Harrelson/Michael Ealy,Gabriele Muccino,Todd Black/David Bloomfield/Jason Blumenthal/James Lassiter/Will Smith/Steve Tisch,2008-12-19,Seven Pounds,
1861,Comedy,69937900,Anna Kendrick/Rebel Wilson/Adam DeVine/Elizabeth Banks,Jason Moore,Elizabeth Banks/Paul Brooks/Max Handelman/Scott Niemeyer,2012-09-28,Pitch Perfect,Kay Cannon
1862,Drama / Thriller,791000,,Keith Gordon,Robert B. Weide,1996-11-01,Mother Night,Robert B. Weide
1863,Drama,13826800,Keira Knightley/Aaron Johnson/Jude Law,Joe Wright,Tim Bevan,2012-11-16,Anna Karenina,
1864,Action Thriller,75980800,Denzel Washington/John Travolta/James Gandolfini,Tony Scott,Todd Black/Jason Blumenthal/Ryan Kavanaugh/Tony Scott/Steve Tisch,2009-06-12,The Taking of Pelham 1 2 3,Brian Helgeland
1865,Comedy / Drama,25347700,Kevin Costner/Joan Allen/Erika Christensen/Mike Binder,Mike Binder,,2005-03-11,The Upside of Anger,Mike Binder
1866,Comedy / Drama,9924300,Jack Black/Matthew McConaughey,Richard Linklater,John Sloss,2012-04-27,Bernie,Richard Linklater
1867,Drama,13840600,Miles Teller/Melissa Benoist,Damien Chazelle,Jason Blum/Jason Reitman,2014-10-10,Whiplash,Damien Chazelle
1868,Comedy,63350400,Adam Sandler/Rhys Ifans,Steven Brill,Michael De Luca/Jack Giarraputo/Adam Sandler/Robert Simonds,2000-11-10,Little Nicky,Tim Herlihy/Adam Sandler
1869,Fantasy Drama,115762800,Johnny Depp/Winona Ryder,Tim Burton,Tim Burton/Denise Di Novi,1990-12-07,Edward Scissorhands,
1870,Horror,76179300,Michael Keaton,Geoffrey Sax,Paul Brooks/Scott Niemeyer,2005-01-07,White Noise,
1871,Action / Adventure,34742100,Jeff Bridges/Ryan Reynolds/Kevin Bacon,Robert Schwentke,David Dobkin/Neal H. Moritz,2013-07-19,R.I.P.D.,Phil Hay/Matt Manfredi
1872,Action Thriller,75831900,Al Pacino/Colin Farrell/Bridget Moynahan,Roger Donaldson,Gary Barber/Roger Birnbaum/Jonathan Glickman,2003-01-31,The Recruit,Kurt Wimmer
1873,Comedy,66420000,Jonah Hill/Russell Brand/Sean 'P. Diddy' Combs/Elisabeth Moss/Rose Byrne,Nick Stoller,Judd Apatow/Rodney Rothman/Jason Segel,2010-06-04,Get Him to the Greek,Nick Stoller
1874,Sci-Fi Comedy,69017100,Sam Rockwell/Zooey Deschanel/Martin Freeman/John Malkovich,Garth Jennings,Gary Barber/Roger Birnbaum/Jonathan Glickman,2005-04-29,The Hitchhiker's Guide to the Galaxy,Karey Kirkpatrick
1875,Family Comedy,113996500,Eugenio Derbez/Piper Perabo/Jamie Lee Curtis,Raja Gosnell,David Hoberman/John Jacobs,2008-10-03,Beverly Hills Chihuahua,
1876,Romantic Comedy,61600,Elizabeth Banks/James Marsden,Steven Brill,Gary Lucchesi/Tom Rosenberg,2014-05-02,Walk of Shame,Steven Brill
1877,Drama / Thriller,58140000,"Anthony Hopkins/Cuba Gooding, Jr.",Jon Turteltaub,,1999-06-04,Instinct,Gerald Di Pego
1878,Crime Drama,33460800,Robert DeNiro/Frances McDormand/James Franco,Michael Caton-Jones,Don Carmody/Brad Grey,2002-09-06,City by the Sea,
1879,Romance,53703200,Harrison Ford/Bonnie Hunt/Sydney Pollack,Sydney Pollack,Sydney Pollack,1999-10-08,Random Hearts,
1880,Comedy,60196300,Adam Sandler/Seth Rogen/Jonah Hill/Eric Bana/Leslie Mann/Jason Schwartzman/Aubrey Plaza,Judd Apatow,Judd Apatow/Jack Giarraputo/Evan Goldberg/Barry Mendel/Clayton Townsend,2009-07-31,Funny People,Judd Apatow
1881,Animation,480352200,Ellen DeGeneres/Albert Brooks,Andrew Stanton,,2016-06-17,Finding Dory,Andrew Stanton
1882,Drama / Thriller,1971700,Robert DeNiro/Milla Jovovich/Edward Norton,John Curran,,2010-10-08,Stone,
1883,Family Adventure,26742500,Guy Pearce,Jean-Jacques Annaud,,2004-06-25,Two Brothers,
1884,Unknown,52300,Al Pacino,James Foley,Larry J. Franco*,1995-11-22,Two Bits,
1885,Drama,10794700,Willem Dafoe,Paul Schrader,,1998-12-30,Affliction,
1886,Drama,49810400,Mark Wahlberg/Julianne Moore/John C. Reilly/Don Cheadle/Philip Seymour Hoffman/William H. Macy,Paul Thomas Anderson,Paul Thomas Anderson/Michael De Luca/Lawrence Gordon/Lloyd Levin/JoAnne Sellar,1997-10-10,Boogie Nights,Paul Thomas Anderson
1887,Drama,3163800,Jim Broadbent,Mike Leigh,,1991-10-25,Life Is Sweet,Mike Leigh
1888,Period Adventure,80837700,James Caviezel/Guy Pearce/Henry Cavill,Kevin Reynolds,Gary Barber/Roger Birnbaum/Jonathan Glickman,2002-01-25,The Count of Monte Cristo,
1889,Comedy / Drama,237423900,Leonardo DiCaprio/Tom Hanks/Christopher Walken/Amy Adams,Steven Spielberg,Steven Spielberg,2002-12-25,Catch Me If You Can,Jeff Nathanson
1890,Drama,756600,Dean Norris/Adam Sandler/Ansel Elgort/Jennifer Garner/Rosemarie DeWitt,Jason Reitman,Jason Reitman,2014-10-01,"Men, Women & Children",Jason Reitman
1891,Horror Comedy,1307300,Brandon Routh,Kevin Munroe,Patrick Aiello/Kevin Munroe/Scott Mitchell Rosenberg,2011-04-29,Dylan Dog: Dead of Night,Thomas Dean Donnelly/Joshua Oppenheimer
1892,Crime,7665200,Nicole Kidman,Jez Butterworth,Sydney Pollack,2002-02-01,Birthday Girl,Jez Butterworth
1893,Drama,485900,Kate Beckinsale/Sam Rockwell/Olivia Thirlby,David Gordon Green,,2008-03-07,Snow Angels,David Gordon Green
1894,Foreign,7105500,Gael Garcia Bernal,Pedro Almodovar,Pedro Almodovar,2004-11-19,Bad Education,Pedro Almodovar
1895,Sci-Fi Fantasy,936276700,John Boyega/Daisy Ridley/Oscar Isaac/Andy Serkis/Harrison Ford/Carrie Fisher/Mark Hamill/Anthony Daniels/Peter Mayhew/Lupita Nyong'o,J.J. Abrams,J.J. Abrams/Bryan Burk/Kathleen Kennedy,2015-12-18,Star Wars: The Force Awakens,J.J. Abrams/Michael Arndt/Lawrence Kasdan
1896,Sports Drama,61532100,Keanu Reeves/Diane Lane,Brian Robbins,Kevin McCormick/Brian Robbins/Erwin Stoff/Michael Tollin,2001-09-14,Hardball,John Gatins
1897,Comedy,13986300,Greg Kinnear,Garry Marshall,Mario Iscovich*/Steve Tisch,1996-11-01,Dear God,
1898,Action Drama,29973400,Amber Heard/Cam Gigandet,Jeff Wadlow,David Zelon,2008-03-14,Never Back Down,
1899,Comedy / Drama,6097700,Carrie Fisher,Nora Ephron,Lynda Obst,1992-02-21,This Is My Life,Delia Ephron/Nora Ephron
1900,Comedy,29117700,Penelope Cruz/Will Ferrell/Ben Stiller/Kristen Wiig/Owen Wilson,Ben Stiller,,2016-02-12,Zoolander 2,Ben Stiller/Nick Stoller
1901,Crime Drama,132953400,Al Pacino/Robert DeNiro/Val Kilmer/Ashley Judd,Michael Mann,Pieter Jan Brugge/Michael Mann/Arnon Milchan,1995-12-15,Heat,Michael Mann
1902,Comedy / Drama,47404300,Diane Keaton/Giovanni Ribisi,Garry Marshall,David Hoberman/Mario Iscovich,1999-02-26,The Other Sister,
1903,Family Adventure,39494100,Josh Hutcherson/Kristen Stewart/Tim Robbins,Jon Favreau,Michael De Luca/Ted Field,2005-11-11,Zathura,David Koepp
1904,Drama / Thriller,19500800,Chris Cooper/Robert DeNiro/Annette Bening,Irwin Winkler,Arnon Milchan,1991-03-15,Guilty by Suspicion,
1905,Crime,25690400,Gary Oldman,Tony Scott,Gary Barber/Samuel Hadida/James G. Robinson*,1993-09-10,True Romance,Quentin Tarantino
1906,Crime Thriller,27799000,Paul Newman/Susan Sarandon/Reese Witherspoon/James Garner,Robert Benton,Scott Rudin,1998-03-06,Twilight,Robert Benton
1907,Action Comedy,59394400,Chris Farley/Chris Rock,Dennis Dugan,,1997-01-17,Beverly Hills Ninja,
1908,Action Drama,27965700,Chris Hemsworth/Olivia Wilde,Ron Howard,Eric Fellner/Brian Grazer/Ron Howard,2013-09-20,Rush,Peter Morgan
1909,Drama,22311500,Tye Sheridan/Matthew McConaughey/Reese Witherspoon,Jeff Nichols,Aaron Ryder,2013-04-26,Mud,Jeff Nichols
1910,Drama / Thriller,47515000,Leonardo DiCaprio/Russell Crowe/Mark Strong,Ridley Scott,Ridley Scott,2008-10-10,Body of Lies,William Monahan
1911,Comedy,152888300,Jonah Hill/Michael Cera/Christopher Mintz-Plasse/Seth Rogen/Emma Stone,Greg Mottola,Judd Apatow/Shauna Robertson/Seth Rogen/Evan Goldberg,2007-08-17,Superbad,Seth Rogen/Evan Goldberg
